word,coefficient,direction
sad,2.5012349653785355,positive
imagine,1.8365745057312959,positive
terrible,1.6634519244793045,positive
poor,1.4495996173236627,positive
awful,1.4063240153058338,positive
lost,1.2821151672397575,positive
feel,1.0630886606943304,positive
horrible,1.0180640093129796,positive
bad for,1.015641991196971,positive
horrifying,1.0005021256480848,positive
family,0.999100610645015,positive
hope,0.9932121781484743,positive
suffering,0.9861573634453054,positive
heartbreaking,0.9813146864986745,positive
children,0.9636879580796304,positive
life,0.9609191701183613,positive
must,0.9607069453052887,positive
tragic,0.9528242347864717,positive
felt,0.95039960666381,positive
losing,0.9339928594224809,positive
through,0.9271881561044143,positive
killed,0.8992650477406577,positive
depression,0.8928992855432215,positive
scary,0.8730822059470503,positive
such,0.8594052957392206,positive
depressing,0.8568371613575175,positive
to,0.8463075705778191,positive
child,0.8256329701995898,positive
so sad,0.821480134238723,positive
families,0.8079755934794668,positive
maybe,-0.4953187775876577,negative
think so,-0.49694067272802933,negative
great,-0.4990808906044176,negative
surgery,-0.500309906997448,negative
savages,-0.5100151212880131,negative
enjoyed,-0.5162691256129796,negative
it all,-0.5473447192075704,negative
clinton,-0.5501607470376372,negative
dogs,-0.5511609753465845,negative
thanks,-0.5588742381889913,negative
are you,-0.5739336772346006,negative
conversation,-0.5744974950093833,negative
research,-0.5989475969838547,negative
the article,-0.5999366752433037,negative
chat,-0.610852858893899,negative
hello,-0.6121841287342301,negative
tell me,-0.6163387648583788,negative
interesting,-0.6279705757143127,negative
did you,-0.6332680728349824,negative
news,-0.6341910573407957,negative
china,-0.6531997397010284,negative
you think,-0.665702751852463,negative
lol,-0.6989373957156314,negative
trump,-0.703439715325768,negative
remember,-0.7319701505125519,negative
you feel,-0.8237071176353109,negative
do you,-0.9272591848242705,negative
you,-0.9622360606106134,negative
goodbye,-0.9871827332327284,negative
bye,-0.989276795767779,negative
